"ENSEMBL","SYMBOL","GENENAME","logFC","logCPM","LR","PValue","FDR"
"ENSG00000000003","TSPAN6","tetraspanin 6",-0.24741215178192,7.00993656191467,1.61680650199155,0.203537650850082,0.501336462351048
"ENSG00000000419","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic",-0.157606115820767,5.31100919474412,0.690838201579972,0.405879423554776,0.710439750523186
"ENSG00000000457","SCYL3","SCY1 like pseudokinase 3",-0.269368510276125,4.39292373388826,2.13677761476622,0.143803677383129,0.41334988260619
"ENSG00000000460","FIRRM","FIGNL1 interacting regulator of recombination and mitosis",-0.322985238937381,2.2660347382946,1.28091162429483,0.257729602983763,0.56650213586027
"ENSG00000000971","CFH","complement factor H",-0.185091459992572,7.43187782639709,0.798082084923067,0.371667413908798,0.680142372294672
"ENSG00000001036","FUCA2","alpha-L-fucosidase 2",-0.312919516186605,5.09683699419658,4.17553113551622,0.0410117060456695,0.203286530508465
"ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit",1.31795521434864,8.86928646054435,24.4147013708638,7.76736898631599e-07,4.63520642530416e-05
"ENSG00000001167","NFYA","nuclear transcription factor Y subunit alpha",0.54043898141727,5.70272740848818,10.5949411322613,0.00113397509644135,0.017354702121901
"ENSG00000001460","STPG1","sperm tail PG-rich repeat containing 1",0.0347909807436483,4.97053976911282,0.0240450258112048,0.876770400766381,0.957476581145383
"ENSG00000001461","NIPAL3","NIPA like domain containing 3",-0.315583012240922,5.91714803883166,3.33935137126254,0.0676412686037661,0.269570597752313
"ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor",-0.13335812293776,4.83825811718451,0.995792276399182,0.318330800347151,0.62907012108637
"ENSG00000001561","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4",-0.350853173750212,5.63239969927499,1.19945034450171,0.273431564390357,0.58310904207393
"ENSG00000001617","SEMA3F","semaphorin 3F",-0.0423672952782371,6.90161800171816,0.0309117046961092,0.860437518766365,0.952232977821472
"ENSG00000001626","CFTR","CF transmembrane conductance regulator",-0.401025671574814,2.0384327102686,0.604245202208432,0.43696285790811,0.733874217671353
"ENSG00000001629","ANKIB1","ankyrin repeat and IBR domain containing 1",0.0887200507364125,6.25444755289995,0.343243298752654,0.557963084249428,0.821005024050152
"ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1",0.491653273673913,8.13690685880016,4.23207645467748,0.0396668837125726,0.198869113233597
"ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing",-0.191159282873215,4.75109611496663,1.36047522685503,0.243455137618156,0.551654578623854
"ENSG00000002016","RAD52","RAD52 homolog, DNA repair protein",-0.26094069629975,3.39741332194635,1.18726450781593,0.275882032694638,0.584937206533917
"ENSG00000002330","BAD","BCL2 associated agonist of cell death",0.213709014861286,4.1945193260983,0.273516366635661,0.600982658247319,0.845210198234195
"ENSG00000002549","LAP3","leucine aminopeptidase 3",0.0441331058185773,6.52903390381576,0.0614130919293885,0.804276271992127,0.934163963894257
"ENSG00000002586","CD99","CD99 molecule (Xg blood group)",0.41764773590733,5.78398631213099,3.21529398771272,0.0729530851140649,0.281480986786307
"ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1",0.889418754685312,5.91452647491407,12.8917737969509,0.000330029497758644,0.00675820967689372
"ENSG00000002726","AOC1","amine oxidase copper containing 1",-0.906049836618142,0.24716511808618,1.30349758992604,0.253575335589404,0.561709276642809
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1",0.14583787932312,3.26588341532863,0.274917750513005,0.600051818544214,0.844831217637122
"ENSG00000002834","LASP1","LIM and SH3 protein 1",-0.144069013001693,8.2383906261169,0.73603659919155,0.390933462270188,0.697245328659208
"ENSG00000002919","SNX11","sorting nexin 11",0.144722518500198,4.07083852610459,0.683676752999411,0.408323515405069,0.711751278678285
"ENSG00000003056","M6PR","mannose-6-phosphate receptor, cation dependent",0.0799503416841589,7.01918958771126,0.30355542950727,0.581662023537632,0.834231066317705
"ENSG00000003096","KLHL13","kelch like family member 13",-0.363747537737139,4.61262964786037,1.85831626937308,0.172819252744702,0.459348231534989
"ENSG00000003137","CYP26B1","cytochrome P450 family 26 subfamily B member 1",2.26141583037967,5.26793681242023,28.9582213179497,7.39562617309115e-08,6.25810843313475e-06
"ENSG00000003147","ICA1","islet cell autoantigen 1",-0.0832277146635202,4.62953272158573,0.176884882433548,0.674064104971519,0.881213558154652
"ENSG00000003249","DBNDD1","dysbindin domain containing 1",-0.651720511153819,3.15240308412489,2.75707743828232,0.0968249733949993,0.333341715186665
"ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2",0.278030232233677,5.75021468561867,2.35504767217623,0.124878067638482,0.382967389404074
"ENSG00000003400","CASP10","caspase 10",1.55432233800641,5.88834713908857,15.2429081624487,9.45310461821393e-05,0.00258875859861465
